 backsc       transm       absorb        therma
  0.194999993      0.805000007       0.00000000       0.00000000    
  0.279000014      0.721000016       0.00000000       0.00000000    
  0.329200000      0.670799971       0.00000000       0.00000000    
  0.388200015      0.611699998       9.99999975E-05   0.00000000    
  0.414799988      0.585200012       0.00000000       9.99999975E-05
  0.464599997      0.535300016       9.99999975E-05   0.00000000    
  0.501100004      0.498899996       0.00000000       1.99999995E-04
  0.520399988      0.479600012       0.00000000       1.99999995E-04
  0.544399977      0.455599993       0.00000000       8.99999985E-04
  0.565400004      0.434500009       9.99999975E-05   2.40000011E-03
  0.588800013      0.411199987       0.00000000       3.70000000E-03
  0.603600025      0.396400005       0.00000000       5.49999997E-03
  0.611599982      0.388200015       1.99999995E-04   7.79999979E-03
  0.632499993      0.367399991       9.99999975E-05   1.13000004E-02
  0.640299976      0.359499991       1.99999995E-04   1.64000001E-02
  0.665400028      0.334300011       3.00000014E-04   1.85000002E-02
  0.678900003      0.320499986       6.00000028E-04   2.30000000E-02
  0.687799990      0.312000006       1.99999995E-04   3.17000002E-02
  0.700699985      0.298700005       6.00000028E-04   3.55999991E-02
  0.717700005      0.281699985       6.00000028E-04   3.48999985E-02
  0.716600001      0.282499999       8.99999985E-04   4.34999987E-02
  0.726199985      0.272300005       1.50000001E-03   4.89000008E-02
  0.730199993      0.268400013       1.39999995E-03   5.82000017E-02
  0.745899975      0.251800001       2.30000005E-03   5.42999990E-02
  0.744400024      0.252200007       3.40000005E-03   6.72999993E-02
  0.762099981      0.234999999       2.89999996E-03   6.80999979E-02
  0.760800004      0.235400006       3.80000006E-03   7.94999972E-02
  0.763300002      0.231800005       4.90000006E-03   7.51999989E-02
  0.768899977      0.224299997       6.80000009E-03   8.68000016E-02
  0.780600011      0.214000002       5.40000014E-03   8.56000036E-02
  0.782599986      0.209399998       8.00000038E-03   8.73000026E-02
  0.784799993      0.205100000       1.00999996E-02   9.21000019E-02
  0.797599971      0.195700005       6.69999979E-03  0.100699998    
  0.799199998      0.191499993       9.30000003E-03  0.100800000    
  0.802800000      0.185499996       1.16999997E-02  0.101899996    
  0.803099990      0.183300003       1.36000002E-02  0.106100000    
  0.810500026      0.174099997       1.53999999E-02  0.102499999    
  0.811600029      0.172499999       1.59000009E-02  0.101899996    
  0.808300018      0.172199994       1.95000004E-02  0.111299999    
  0.818499982      0.163200006       1.83000006E-02  0.109399997    
  0.819700003      0.160699993       1.96000002E-02  0.108199999    
  0.820200026      0.160400003       1.94000006E-02  0.110699996    
  0.828999996      0.146500006       2.44999994E-02  0.102899998    
  0.829800010      0.145199999       2.50000004E-02  0.106500000    
  0.828899980      0.145099998       2.60000005E-02  0.111199997    
  0.831399977      0.136700004       3.18999998E-02  0.105899997    
  0.837100029      0.134200007       2.86999997E-02  0.107299998    
  0.836000025      0.131200001       3.28000002E-02  0.103799999    
  0.838299990      0.125499994       3.62000018E-02  0.104099996    
  0.844900012      0.119400002       3.57000008E-02   9.61999968E-02
  0.837599993      0.123999998       3.84000018E-02  0.104500003    
  0.850700021      0.111100003       3.81999984E-02   9.49999988E-02
  0.841899991      0.116200000       4.19000015E-02   9.83000025E-02
  0.845300019      0.107799999       4.69000004E-02   9.30999964E-02
  0.844399989      0.112400003       4.32000011E-02   9.89999995E-02
  0.847999990      0.101499997       5.05000018E-02   9.08000022E-02
  0.848699987      0.104699999       4.65999991E-02   9.18999985E-02
  0.851499975       9.56000015E-02   5.29000014E-02   8.61999989E-02
  0.859799981       8.88999999E-02   5.13000004E-02   8.20000023E-02
  0.853999972       9.29000005E-02   5.31000011E-02   8.56999978E-02
